base_currency,quote_currency,bid,ask,midpoint
INR,CAD,0.0174072,0.017434,0.0174206
INR,CHF,0.0133428,0.013364,0.0133534
INR,CNY,0.0923705,0.0925483,0.0924594
INR,DKK,0.0871465,0.0872901,0.0872183
INR,EUR,0.0116837,0.0117016,0.0116926
INR,GBP,0.0102727,0.0102885,0.0102806
INR,HKD,0.105404,0.105563,0.105484
INR,INR,1,1,1
INR,JPY,1.52863,1.53095,1.52979
INR,KRW,15.2282,15.2737,15.251
INR,MXN,0.254897,0.255323,0.25511
INR,MYR,0.0558296,0.0559625,0.055896
INR,NOK,0.111216,0.111428,0.111322
INR,NZD,0.0208999,0.0209343,0.0209171
INR,PLN,0.0503592,0.0504613,0.0504102
INR,RUB,0.896792,0.898621,0.897706
INR,SEK,0.122096,0.122308,0.122202
INR,SGD,0.0185945,0.0186242,0.0186094
INR,THB,0.440809,0.443049,0.441929
INR,TRY,0.0825552,0.0828246,0.0826899
INR,TWD,0.415815,0.416699,0.416257
INR,USD,0.0134524,0.0134715,0.013462
INR,ZAR,0.199216,0.199648,0.199432
JPY,AUD,0.0124864,0.0124891,0.0124878
JPY,BRL,0.0340898,0.0341154,0.0341026
JPY,CAD,0.0113863,0.0113889,0.0113876
JPY,CHF,0.0087273,0.00872905,0.00872818
JPY,CNY,0.0604207,0.0604579,0.0604393
JPY,DKK,0.0570036,0.0570229,0.0570132
JPY,EUR,0.0076417,0.00764275,0.00764222
JPY,GBP,0.00671953,0.0067207,0.00672012
JPY,HKD,0.0689461,0.0689601,0.0689531
JPY,INR,0.653189,0.654182,0.653686
JPY,JPY,1,1,1
JPY,KRW,9.96097,9.97765,9.96931
JPY,MXN,0.166731,0.166792,0.166762
JPY,MYR,0.0365189,0.0365579,0.0365384
JPY,NOK,0.0727478,0.0727913,0.0727696
JPY,NZD,0.0136709,0.0136755,0.0136732
JPY,PLN,0.0329406,0.0329642,0.0329524
JPY,RUB,0.586603,0.587031,0.586817
JPY,SEK,0.0798643,0.0798985,0.0798814
JPY,SGD,0.0121629,0.0121664,0.0121646
JPY,THB,0.288339,0.289426,0.288882
JPY,TRY,0.0540004,0.0541058,0.0540531
JPY,TWD,0.27199,0.272212,0.272101
JPY,USD,0.00879941,0.00880034,0.00879988
JPY,ZAR,0.13031,0.130422,0.130366
KRW,AUD,0.00125153,0.00125373,0.00125263
KRW,BRL,0.00341698,0.00342454,0.00342076
KRW,CAD,0.0011413,0.00114323,0.00114226
KRW,CHF,0.000874817,0.000876339,0.000875578
KRW,CNY,0.00605625,0.00606883,0.00606254
KRW,DKK,0.00571374,0.00572403,0.00571888
KRW,EUR,0.000766042,0.00076733,0.000766686
KRW,GBP,0.000673528,0.000674667,0.000674098
KRW,HKD,0.00691079,0.00692229,0.00691654
KRW,INR,0.0654721,0.0656676,0.0655698
KRW,JPY,0.100224,0.100392,0.100308
KRW,KRW,1,1,1
KRW,MXN,0.0167123,0.0167428,0.0167276
KRW,MYR,0.00366045,0.00366973,0.00366509
KRW,NOK,0.00729185,0.00730688,0.00729936
KRW,NZD,0.0013703,0.00137277,0.00137154
KRW,PLN,0.00330179,0.00330899,0.00330539
KRW,RUB,0.0587979,0.0589269,0.0588624
KRW,SEK,0.00800517,0.00802031,0.00801274
KRW,SGD,0.00121914,0.00122128,0.00122021
KRW,THB,0.0289016,0.0290529,0.0289772
KRW,TRY,0.00541271,0.0054312,0.00542196
KRW,TWD,0.0272628,0.027325,0.0272939
KRW,USD,0.000882005,0.000883388,0.000882696
KRW,ZAR,0.0130616,0.0130919,0.0130768
MXN,AUD,0.0748678,0.0749009,0.0748844
MXN,BRL,0.204407,0.204591,0.204499
MXN,CAD,0.0682734,0.0682994,0.0682864
MXN,CHF,0.0523323,0.0523548,0.0523436
MXN,CNY,0.36229,0.362568,0.362429
MXN,DKK,0.341801,0.341969,0.341885
MXN,EUR,0.0458253,0.0458423,0.0458338
MXN,GBP,0.0402911,0.0403064,0.0402988
MXN,HKD,0.413409,0.413556,0.413482
MXN,INR,3.9166,3.92315,3.91988
MXN,JPY,5.99549,5.99767,5.99658
MXN,KRW,59.7272,59.8363,59.7818
MXN,MXN,1,1,1
MXN,MYR,0.218972,0.219239,0.219106
MXN,NOK,0.436205,0.436532,0.436368
MXN,NZD,0.0819724,0.0820126,0.0819925
MXN,PLN,0.197516,0.197688,0.197602
MXN,RUB,3.51734,3.52045,3.5189
MXN,SEK,0.478876,0.479154,0.479015
MXN,SGD,0.0729302,0.0729622,0.0729462
MXN,THB,1.72892,1.73569,1.7323
MXN,TRY,0.323793,0.324474,0.324134
MXN,TWD,1.63088,1.63247,1.63168
MXN,USD,0.0527623,0.0527759,0.0527691
MXN,ZAR,0.781355,0.782145,0.78175
MYR,AUD,0.341577,0.34197,0.341774
MYR,BRL,0.932585,0.934087,0.933336
MYR,CAD,0.311491,0.31183,0.31166
MYR,CHF,0.238761,0.239032,0.238896
MYR,CNY,1.65291,1.65535,1.65413
MYR,DKK,1.55943,1.5613,1.56036
MYR,EUR,0.209074,0.209299,0.209186
MYR,GBP,0.183824,0.184024,0.183924
MYR,HKD,1.88614,1.88814,1.88714
MYR,INR,17.8691,17.9116,17.8904
MYR,JPY,27.3539,27.3831,27.3685
MYR,KRW,272.5,273.19,272.845
MYR,MXN,4.56123,4.5668,4.56402
MYR,MYR,1,1,1
MYR,NOK,1.99014,1.99304,1.99159
MYR,NZD,0.373991,0.374439,0.374215
MYR,PLN,0.901147,0.902567,0.901857
MYR,RUB,16.0475,16.073,16.0602
MYR,SEK,2.18483,2.18764,2.18624
MYR,SGD,0.332737,0.333118,0.332928
MYR,THB,7.88802,7.92453,7.90628
MYR,TRY,1.47727,1.48143,1.47935
MYR,TWD,7.44075,7.45322,7.44698
MYR,USD,0.240723,0.240955,0.240839
MYR,ZAR,3.56486,3.57098,3.56792
NOK,AUD,0.17155,0.171666,0.171608
NOK,BRL,0.468372,0.468905,0.468638
NOK,CAD,0.15644,0.156536,0.156488
NOK,CHF,0.119913,0.119993,0.119953
NOK,CNY,0.830142,0.830974,0.830558
NOK,DKK,0.783193,0.783761,0.783477
NOK,EUR,0.105013,0.105053,0.105033
NOK,GBP,0.0923218,0.0923786,0.0923502
NOK,HKD,0.947275,0.947833,0.947554
NOK,INR,8.9744,8.99151,8.98296
NOK,JPY,13.7379,13.7461,13.742
NOK,KRW,136.857,137.139,136.998
NOK,MXN,2.29078,2.2925,2.29164
NOK,MYR,0.501746,0.502477,0.502112
NOK,NOK,1,1,1
NOK,NZD,0.187829,0.187966,0.187898
NOK,PLN,0.452583,0.453082,0.452832
NOK,RUB,8.05955,8.06855,8.06405
NOK,SEK,1.09728,1.09818,1.09773
NOK,SGD,0.16711,0.167223,0.167166
NOK,THB,3.96159,3.97806,3.96982
NOK,TRY,0.741931,0.743666,0.742798
NOK,TWD,3.73696,3.74146,3.73921
NOK,USD,0.120898,0.120958,0.120928
NOK,ZAR,1.79038,1.79261,1.7915
